"pull,a,big,cylinder,while zigzagging","turn left,turn left,walk,walk,pull,pull,pull,pull","gridSize(6).
pos(agent,(4,6)).
dir(agent,east).

pos(0,(4,4)).
shape(0,cylinder).
color(0,yellow).
size(0,3).
weight(0,heavy).

pos(1,(3,3)).
shape(1,cylinder).
color(1,yellow).
size(1,1).
weight(1,light).

pos(2,(2,4)).
shape(2,circle).
color(2,green).
size(2,1).
weight(2,light).

pos(3,(2,5)).
shape(3,circle).
color(3,green).
size(3,1).
weight(3,light).

pos(4,(5,6)).
shape(4,circle).
color(4,blue).
size(4,1).
weight(4,light).

pos(5,(1,4)).
shape(5,circle).
color(5,blue).
size(5,3).
weight(5,heavy).

pos(6,(1,5)).
shape(6,cylinder).
color(6,red).
size(6,2).
weight(6,light).

pos(7,(6,5)).
shape(7,cylinder).
color(7,red).
size(7,1).
weight(7,light).

pos(8,(1,1)).
shape(8,square).
color(8,blue).
size(8,3).
weight(8,heavy).

pos(9,(2,3)).
shape(9,square).
color(9,blue).
size(9,1).
weight(9,light).

pos(10,(4,1)).
shape(10,square).
color(10,yellow).
size(10,2).
weight(10,light).

pos(11,(5,5)).
shape(11,square).
color(11,yellow).
size(11,1).
weight(11,light).

","query(pull). 
queryDesc(big). 
queryDesc(cylinder). 
while(zigzagging)."
"walk,to,a,green,circle,while spinning","turn left,turn left,turn left,turn left,turn left,turn left,walk,turn left,turn left,turn left,turn left,walk,turn left,turn left,turn left,turn left,walk,turn left,turn left,turn left,turn left,turn right,walk","gridSize(6).
pos(agent,(3,5)).
dir(agent,east).

pos(0,(2,2)).
shape(0,circle).
color(0,green).
size(0,3).
weight(0,heavy).

pos(1,(1,1)).
shape(1,circle).
color(1,blue).
size(1,1).
weight(1,light).

pos(2,(6,2)).
shape(2,square).
color(2,yellow).
size(2,3).
weight(2,heavy).

pos(3,(1,4)).
shape(3,square).
color(3,red).
size(3,4).
weight(3,heavy).

pos(4,(4,6)).
shape(4,cylinder).
color(4,green).
size(4,4).
weight(4,heavy).

pos(5,(6,4)).
shape(5,cylinder).
color(5,blue).
size(5,1).
weight(5,light).

",query(walk). queryDesc(green). queryDesc(circle). while(spinning).
"walk,to,a,red,cylinder","walk,turn left,walk,walk,walk,walk","gridSize(6).
pos(agent,(6,2)).
dir(agent,east).

pos(0,(2,3)).
shape(0,cylinder).
color(0,red).
size(0,2).
weight(0,light).

pos(1,(6,1)).
shape(1,square).
color(1,blue).
size(1,4).
weight(1,heavy).

pos(2,(5,3)).
shape(2,circle).
color(2,green).
size(2,4).
weight(2,heavy).

pos(3,(5,4)).
shape(3,cylinder).
color(3,blue).
size(3,3).
weight(3,heavy).

pos(4,(5,6)).
shape(4,circle).
color(4,red).
size(4,2).
weight(4,light).

pos(5,(5,2)).
shape(5,circle).
color(5,yellow).
size(5,3).
weight(5,heavy).

",query(walk). queryDesc(red). queryDesc(cylinder).
"pull,a,square,hesitantly","turn left,turn left,walk,stay,walk,stay,walk,stay,walk,stay,walk,stay,turn right,walk,stay,walk,stay,pull,stay,pull,stay,pull,stay,pull,stay","gridSize(6).
pos(agent,(3,6)).
dir(agent,east).

pos(0,(1,1)).
shape(0,square).
color(0,blue).
size(0,4).
weight(0,heavy).

pos(1,(4,1)).
shape(1,circle).
color(1,yellow).
size(1,1).
weight(1,light).

",query(pull). queryDesc(square). while(hesitant).
"walk,to,a,yellow,circle,while spinning","turn left,turn left,turn left,turn left,walk,turn left,turn left,turn left,turn left,walk,turn left,turn left,turn left,turn left,walk,turn left,turn left,turn left,turn left,walk,turn left,turn left,turn left,turn left,turn right,walk,turn left,turn left,turn left,turn left,walk,turn left,turn left,turn left,turn left,walk","gridSize(6).
pos(agent,(3,2)).
dir(agent,east).

pos(0,(6,6)).
shape(0,circle).
color(0,yellow).
size(0,3).
weight(0,heavy).

pos(1,(6,3)).
shape(1,circle).
color(1,blue).
size(1,1).
weight(1,light).

pos(2,(1,1)).
shape(2,cylinder).
color(2,yellow).
size(2,4).
weight(2,heavy).

pos(3,(2,1)).
shape(3,circle).
color(3,red).
size(3,2).
weight(3,light).

pos(4,(4,5)).
shape(4,square).
color(4,yellow).
size(4,3).
weight(4,heavy).

pos(5,(5,6)).
shape(5,cylinder).
color(5,red).
size(5,4).
weight(5,heavy).

",query(walk). queryDesc(yellow). queryDesc(circle). while(spinning).
"pull,a,yellow,circle","turn left,turn left,walk,walk,turn right,walk,walk,walk,walk,pull,pull,pull,pull","gridSize(6).
pos(agent,(6,5)).
dir(agent,east).

pos(0,(2,3)).
shape(0,circle).
color(0,yellow).
size(0,2).
weight(0,light).

pos(1,(3,5)).
shape(1,square).
color(1,blue).
size(1,2).
weight(1,light).

pos(2,(1,3)).
shape(2,circle).
color(2,red).
size(2,4).
weight(2,heavy).

pos(3,(3,6)).
shape(3,cylinder).
color(3,yellow).
size(3,2).
weight(3,light).

pos(4,(4,6)).
shape(4,circle).
color(4,blue).
size(4,3).
weight(4,heavy).

pos(5,(4,4)).
shape(5,cylinder).
color(5,red).
size(5,4).
weight(5,heavy).

",query(pull). queryDesc(yellow). queryDesc(circle).
"walk,to,a,blue,small,square,hesitantly","turn left,walk,stay","gridSize(6).
pos(agent,(3,3)).
dir(agent,east).

pos(0,(2,3)).
shape(0,square).
color(0,blue).
size(0,3).
weight(0,heavy).

pos(1,(3,2)).
shape(1,square).
color(1,blue).
size(1,4).
weight(1,heavy).

pos(2,(2,6)).
shape(2,cylinder).
color(2,red).
size(2,4).
weight(2,heavy).

pos(3,(5,2)).
shape(3,cylinder).
color(3,red).
size(3,3).
weight(3,heavy).

pos(4,(1,5)).
shape(4,circle).
color(4,red).
size(4,4).
weight(4,heavy).

pos(5,(3,5)).
shape(5,circle).
color(5,red).
size(5,4).
weight(5,heavy).

pos(6,(1,3)).
shape(6,square).
color(6,green).
size(6,2).
weight(6,light).

pos(7,(2,2)).
shape(7,square).
color(7,green).
size(7,3).
weight(7,heavy).

pos(8,(6,3)).
shape(8,circle).
color(8,green).
size(8,3).
weight(8,heavy).

pos(9,(5,3)).
shape(9,circle).
color(9,green).
size(9,1).
weight(9,light).

pos(10,(5,4)).
shape(10,square).
color(10,red).
size(10,2).
weight(10,light).

pos(11,(6,6)).
shape(11,square).
color(11,red).
size(11,3).
weight(11,heavy).

",query(walk). queryDesc(blue). queryDesc(small). queryDesc(square). while(hesitant).
"walk,to,a,square,while zigzagging","walk,turn left,walk,turn right,walk,turn left,walk,turn right,walk,walk","gridSize(6).
pos(agent,(6,1)).
dir(agent,east).

pos(0,(4,5)).
shape(0,square).
color(0,blue).
size(0,4).
weight(0,heavy).

pos(1,(6,4)).
shape(1,cylinder).
color(1,green).
size(1,4).
weight(1,heavy).

",query(walk). queryDesc(square). while(zigzagging).
"walk,to,a,small,square","walk,walk,walk,walk,walk","gridSize(6).
pos(agent,(4,1)).
dir(agent,east).

pos(0,(4,6)).
shape(0,square).
color(0,yellow).
size(0,2).
weight(0,light).

pos(1,(6,6)).
shape(1,square).
color(1,yellow).
size(1,3).
weight(1,heavy).

pos(2,(3,3)).
shape(2,circle).
color(2,blue).
size(2,2).
weight(2,light).

pos(3,(1,1)).
shape(3,circle).
color(3,blue).
size(3,2).
weight(3,light).

pos(4,(1,6)).
shape(4,cylinder).
color(4,yellow).
size(4,1).
weight(4,light).

pos(5,(4,5)).
shape(5,cylinder).
color(5,yellow).
size(5,1).
weight(5,light).

pos(6,(5,3)).
shape(6,square).
color(6,red).
size(6,4).
weight(6,heavy).

pos(7,(6,1)).
shape(7,square).
color(7,red).
size(7,3).
weight(7,heavy).

pos(8,(2,2)).
shape(8,cylinder).
color(8,blue).
size(8,2).
weight(8,light).

pos(9,(3,4)).
shape(9,cylinder).
color(9,blue).
size(9,1).
weight(9,light).

pos(10,(6,3)).
shape(10,circle).
color(10,green).
size(10,4).
weight(10,heavy).

pos(11,(5,4)).
shape(11,circle).
color(11,green).
size(11,3).
weight(11,heavy).

",query(walk). queryDesc(small). queryDesc(square).
"walk,to,a,small,circle,hesitantly","turn left,turn left,walk,stay","gridSize(6).
pos(agent,(4,3)).
dir(agent,east).

pos(0,(4,2)).
shape(0,circle).
color(0,yellow).
size(0,3).
weight(0,heavy).

pos(1,(3,3)).
shape(1,circle).
color(1,yellow).
size(1,4).
weight(1,heavy).

pos(2,(5,1)).
shape(2,square).
color(2,green).
size(2,2).
weight(2,light).

pos(3,(4,5)).
shape(3,square).
color(3,green).
size(3,2).
weight(3,light).

pos(4,(2,3)).
shape(4,circle).
color(4,green).
size(4,4).
weight(4,heavy).

pos(5,(6,5)).
shape(5,circle).
color(5,green).
size(5,4).
weight(5,heavy).

pos(6,(4,6)).
shape(6,cylinder).
color(6,blue).
size(6,2).
weight(6,light).

pos(7,(3,1)).
shape(7,cylinder).
color(7,blue).
size(7,1).
weight(7,light).

pos(8,(1,3)).
shape(8,square).
color(8,yellow).
size(8,1).
weight(8,light).

pos(9,(6,3)).
shape(9,square).
color(9,yellow).
size(9,3).
weight(9,heavy).

pos(10,(6,2)).
shape(10,cylinder).
color(10,red).
size(10,3).
weight(10,heavy).

pos(11,(6,4)).
shape(11,cylinder).
color(11,red).
size(11,4).
weight(11,heavy).

",query(walk). queryDesc(small). queryDesc(circle). while(hesitant).
"push,a,small,circle,while spinning","turn left,turn left,turn left,turn left,walk,turn left,turn left,turn left,turn left,walk,turn left,turn left,turn left,turn left,walk","gridSize(6).
pos(agent,(2,3)).
dir(agent,east).

pos(0,(2,6)).
shape(0,circle).
color(0,green).
size(0,3).
weight(0,heavy).

pos(1,(3,1)).
shape(1,circle).
color(1,green).
size(1,4).
weight(1,heavy).

pos(2,(1,4)).
shape(2,cylinder).
color(2,green).
size(2,1).
weight(2,light).

pos(3,(2,1)).
shape(3,cylinder).
color(3,green).
size(3,3).
weight(3,heavy).

pos(4,(3,2)).
shape(4,cylinder).
color(4,blue).
size(4,1).
weight(4,light).

pos(5,(2,2)).
shape(5,cylinder).
color(5,blue).
size(5,2).
weight(5,light).

pos(6,(3,4)).
shape(6,circle).
color(6,blue).
size(6,4).
weight(6,heavy).

pos(7,(4,3)).
shape(7,circle).
color(7,blue).
size(7,4).
weight(7,heavy).

pos(8,(4,1)).
shape(8,cylinder).
color(8,yellow).
size(8,4).
weight(8,heavy).

pos(9,(6,1)).
shape(9,cylinder).
color(9,yellow).
size(9,4).
weight(9,heavy).

pos(10,(6,5)).
shape(10,circle).
color(10,red).
size(10,4).
weight(10,heavy).

pos(11,(6,2)).
shape(11,circle).
color(11,red).
size(11,4).
weight(11,heavy).

",query(push). queryDesc(small). queryDesc(circle). while(spinning).
"push,a,blue,square","turn left,turn left,walk,walk,walk,walk,turn right,walk,push,push,push,push","gridSize(6).
pos(agent,(4,5)).
dir(agent,east).

pos(0,(3,1)).
shape(0,square).
color(0,blue).
size(0,4).
weight(0,heavy).

pos(1,(5,4)).
shape(1,cylinder).
color(1,yellow).
size(1,3).
weight(1,heavy).

pos(2,(2,6)).
shape(2,cylinder).
color(2,red).
size(2,2).
weight(2,light).

pos(3,(3,4)).
shape(3,cylinder).
color(3,green).
size(3,1).
weight(3,light).

pos(4,(2,4)).
shape(4,square).
color(4,red).
size(4,3).
weight(4,heavy).

pos(5,(1,4)).
shape(5,cylinder).
color(5,blue).
size(5,4).
weight(5,heavy).

",query(push). queryDesc(blue). queryDesc(square).
"walk,to,a,green,big,square,hesitantly","turn left,turn left,walk,stay,walk,stay,walk,stay","gridSize(6).
pos(agent,(6,5)).
dir(agent,east).

pos(0,(6,2)).
shape(0,square).
color(0,green).
size(0,4).
weight(0,heavy).

pos(1,(2,3)).
shape(1,square).
color(1,green).
size(1,2).
weight(1,light).

pos(2,(6,4)).
shape(2,cylinder).
color(2,yellow).
size(2,3).
weight(2,heavy).

pos(3,(5,2)).
shape(3,cylinder).
color(3,yellow).
size(3,1).
weight(3,light).

pos(4,(3,3)).
shape(4,square).
color(4,red).
size(4,2).
weight(4,light).

pos(5,(3,6)).
shape(5,square).
color(5,red).
size(5,2).
weight(5,light).

pos(6,(4,4)).
shape(6,circle).
color(6,yellow).
size(6,3).
weight(6,heavy).

pos(7,(2,4)).
shape(7,circle).
color(7,yellow).
size(7,2).
weight(7,light).

pos(8,(3,2)).
shape(8,circle).
color(8,blue).
size(8,4).
weight(8,heavy).

pos(9,(5,6)).
shape(9,circle).
color(9,blue).
size(9,4).
weight(9,heavy).

pos(10,(5,3)).
shape(10,cylinder).
color(10,blue).
size(10,1).
weight(10,light).

pos(11,(1,2)).
shape(11,cylinder).
color(11,blue).
size(11,3).
weight(11,heavy).

",query(walk). queryDesc(green). queryDesc(big). queryDesc(square). while(hesitant).
"push,a,small,cylinder,while spinning","turn left,turn left,turn left,turn left,walk,turn left,turn left,turn left,turn left,walk,turn left,turn left,turn left,turn left,turn left,walk,turn left,turn left,turn left,turn left,walk","gridSize(6).
pos(agent,(3,4)).
dir(agent,east).

pos(0,(1,6)).
shape(0,cylinder).
color(0,red).
size(0,1).
weight(0,light).

pos(1,(4,4)).
shape(1,cylinder).
color(1,red).
size(1,3).
weight(1,heavy).

pos(2,(6,2)).
shape(2,cylinder).
color(2,yellow).
size(2,4).
weight(2,heavy).

pos(3,(5,4)).
shape(3,cylinder).
color(3,yellow).
size(3,2).
weight(3,light).

pos(4,(3,6)).
shape(4,cylinder).
color(4,green).
size(4,2).
weight(4,light).

pos(5,(3,3)).
shape(5,cylinder).
color(5,green).
size(5,2).
weight(5,light).

pos(6,(6,3)).
shape(6,circle).
color(6,red).
size(6,1).
weight(6,light).

pos(7,(2,3)).
shape(7,circle).
color(7,red).
size(7,1).
weight(7,light).

pos(8,(4,1)).
shape(8,square).
color(8,yellow).
size(8,4).
weight(8,heavy).

pos(9,(2,1)).
shape(9,square).
color(9,yellow).
size(9,2).
weight(9,light).

pos(10,(5,6)).
shape(10,circle).
color(10,yellow).
size(10,1).
weight(10,light).

pos(11,(2,5)).
shape(11,circle).
color(11,yellow).
size(11,3).
weight(11,heavy).

",query(push). queryDesc(small). queryDesc(cylinder). while(spinning).
"pull,a,blue,square,while zigzagging","walk,walk,walk,pull,pull,pull,pull,pull,pull","gridSize(6).
pos(agent,(6,3)).
dir(agent,east).

pos(0,(6,6)).
shape(0,square).
color(0,blue).
size(0,4).
weight(0,heavy).

pos(1,(1,3)).
shape(1,square).
color(1,green).
size(1,2).
weight(1,light).

pos(2,(1,1)).
shape(2,cylinder).
color(2,red).
size(2,1).
weight(2,light).

pos(3,(6,2)).
shape(3,circle).
color(3,green).
size(3,4).
weight(3,heavy).

pos(4,(6,1)).
shape(4,circle).
color(4,blue).
size(4,2).
weight(4,light).

pos(5,(5,1)).
shape(5,circle).
color(5,yellow).
size(5,4).
weight(5,heavy).

",query(pull). queryDesc(blue). queryDesc(square). while(zigzagging).
"push,a,blue,square,hesitantly","turn left,turn left,walk,stay,walk,stay,turn right,walk,stay,walk,stay,push,stay,push,stay,push,stay,push,stay","gridSize(6).
pos(agent,(5,4)).
dir(agent,east).

pos(0,(3,2)).
shape(0,square).
color(0,blue).
size(0,4).
weight(0,heavy).

pos(1,(6,6)).
shape(1,square).
color(1,green).
size(1,1).
weight(1,light).

pos(2,(4,3)).
shape(2,cylinder).
color(2,red).
size(2,3).
weight(2,heavy).

pos(3,(3,6)).
shape(3,circle).
color(3,blue).
size(3,3).
weight(3,heavy).

pos(4,(2,1)).
shape(4,cylinder).
color(4,blue).
size(4,3).
weight(4,heavy).

pos(5,(1,1)).
shape(5,circle).
color(5,yellow).
size(5,4).
weight(5,heavy).

",query(push). queryDesc(blue). queryDesc(square). while(hesitant).
"pull,a,blue,big,circle,while zigzagging","turn left,turn left,walk,turn right,walk","gridSize(6).
pos(agent,(3,6)).
dir(agent,east).

pos(0,(2,5)).
shape(0,circle).
color(0,blue).
size(0,4).
weight(0,heavy).

pos(1,(3,3)).
shape(1,circle).
color(1,blue).
size(1,2).
weight(1,light).

pos(2,(6,2)).
shape(2,square).
color(2,yellow).
size(2,2).
weight(2,light).

pos(3,(2,1)).
shape(3,square).
color(3,yellow).
size(3,4).
weight(3,heavy).

pos(4,(4,5)).
shape(4,square).
color(4,green).
size(4,2).
weight(4,light).

pos(5,(5,1)).
shape(5,square).
color(5,green).
size(5,1).
weight(5,light).

pos(6,(1,6)).
shape(6,cylinder).
color(6,yellow).
size(6,4).
weight(6,heavy).

pos(7,(6,4)).
shape(7,cylinder).
color(7,yellow).
size(7,2).
weight(7,light).

pos(8,(4,2)).
shape(8,cylinder).
color(8,green).
size(8,3).
weight(8,heavy).

pos(9,(3,5)).
shape(9,cylinder).
color(9,green).
size(9,2).
weight(9,light).

pos(10,(6,5)).
shape(10,cylinder).
color(10,red).
size(10,1).
weight(10,light).

pos(11,(1,5)).
shape(11,cylinder).
color(11,red).
size(11,4).
weight(11,heavy).

",query(pull). queryDesc(blue). queryDesc(big). queryDesc(circle). while(zigzagging).
"pull,a,small,cylinder,hesitantly","turn left,turn left,walk,stay,walk,stay,walk,stay,turn right,walk,stay,pull,stay,pull,stay","gridSize(6).
pos(agent,(6,4)).
dir(agent,east).

pos(0,(5,1)).
shape(0,cylinder).
color(0,blue).
size(0,3).
weight(0,heavy).

pos(1,(1,1)).
shape(1,cylinder).
color(1,blue).
size(1,4).
weight(1,heavy).

pos(2,(2,2)).
shape(2,cylinder).
color(2,red).
size(2,4).
weight(2,heavy).

pos(3,(2,5)).
shape(3,cylinder).
color(3,red).
size(3,4).
weight(3,heavy).

pos(4,(3,6)).
shape(4,cylinder).
color(4,green).
size(4,4).
weight(4,heavy).

pos(5,(6,6)).
shape(5,cylinder).
color(5,green).
size(5,4).
weight(5,heavy).

pos(6,(1,2)).
shape(6,square).
color(6,red).
size(6,1).
weight(6,light).

pos(7,(4,5)).
shape(7,square).
color(7,red).
size(7,1).
weight(7,light).

pos(8,(2,4)).
shape(8,circle).
color(8,blue).
size(8,3).
weight(8,heavy).

pos(9,(6,5)).
shape(9,circle).
color(9,blue).
size(9,1).
weight(9,light).

pos(10,(1,4)).
shape(10,circle).
color(10,red).
size(10,1).
weight(10,light).

pos(11,(1,3)).
shape(11,circle).
color(11,red).
size(11,1).
weight(11,light).

",query(pull). queryDesc(small). queryDesc(cylinder). while(hesitant).
"pull,a,big,cylinder","turn left,turn left,walk,walk,walk,turn right,walk,walk,walk,walk,walk,pull,pull,pull,pull,pull,pull","gridSize(6).
pos(agent,(6,5)).
dir(agent,east).

pos(0,(1,2)).
shape(0,cylinder).
color(0,blue).
size(0,4).
weight(0,heavy).

pos(1,(5,3)).
shape(1,cylinder).
color(1,blue).
size(1,1).
weight(1,light).

pos(2,(1,3)).
shape(2,square).
color(2,green).
size(2,4).
weight(2,heavy).

pos(3,(2,1)).
shape(3,square).
color(3,green).
size(3,2).
weight(3,light).

pos(4,(1,5)).
shape(4,cylinder).
color(4,green).
size(4,3).
weight(4,heavy).

pos(5,(2,6)).
shape(5,cylinder).
color(5,green).
size(5,1).
weight(5,light).

pos(6,(4,6)).
shape(6,circle).
color(6,green).
size(6,2).
weight(6,light).

pos(7,(6,6)).
shape(7,circle).
color(7,green).
size(7,3).
weight(7,heavy).

pos(8,(2,5)).
shape(8,circle).
color(8,red).
size(8,3).
weight(8,heavy).

pos(9,(5,2)).
shape(9,circle).
color(9,red).
size(9,3).
weight(9,heavy).

pos(10,(1,4)).
shape(10,square).
color(10,yellow).
size(10,2).
weight(10,light).

pos(11,(4,5)).
shape(11,square).
color(11,yellow).
size(11,2).
weight(11,light).

",query(pull). queryDesc(big). queryDesc(cylinder).
"pull,a,green,square","walk,pull,pull,pull","gridSize(6).
pos(agent,(5,3)).
dir(agent,east).

pos(0,(5,4)).
shape(0,square).
color(0,green).
size(0,1).
weight(0,light).

pos(1,(5,5)).
shape(1,cylinder).
color(1,blue).
size(1,2).
weight(1,light).

pos(2,(6,2)).
shape(2,cylinder).
color(2,red).
size(2,1).
weight(2,light).

pos(3,(4,6)).
shape(3,square).
color(3,red).
size(3,1).
weight(3,light).

pos(4,(6,4)).
shape(4,circle).
color(4,yellow).
size(4,1).
weight(4,light).

pos(5,(4,2)).
shape(5,cylinder).
color(5,green).
size(5,1).
weight(5,light).

","query(pull). 
queryDesc(green). 
queryDesc(square)."
"pull,a,green,big,circle,hesitantly","walk,stay,walk,stay,turn right,walk,stay,walk,stay","gridSize(6).
pos(agent,(2,1)).
dir(agent,east).

pos(0,(4,3)).
shape(0,circle).
color(0,green).
size(0,4).
weight(0,heavy).

pos(1,(4,2)).
shape(1,circle).
color(1,green).
size(1,1).
weight(1,light).

pos(2,(3,3)).
shape(2,cylinder).
color(2,red).
size(2,4).
weight(2,heavy).

pos(3,(4,1)).
shape(3,cylinder).
color(3,red).
size(3,4).
weight(3,heavy).

pos(4,(6,4)).
shape(4,cylinder).
color(4,blue).
size(4,3).
weight(4,heavy).

pos(5,(1,2)).
shape(5,cylinder).
color(5,blue).
size(5,4).
weight(5,heavy).

pos(6,(5,1)).
shape(6,square).
color(6,red).
size(6,2).
weight(6,light).

pos(7,(3,6)).
shape(7,square).
color(7,red).
size(7,3).
weight(7,heavy).

pos(8,(2,4)).
shape(8,square).
color(8,green).
size(8,4).
weight(8,heavy).

pos(9,(2,6)).
shape(9,square).
color(9,green).
size(9,2).
weight(9,light).

pos(10,(6,1)).
shape(10,circle).
color(10,yellow).
size(10,4).
weight(10,heavy).

pos(11,(4,4)).
shape(11,circle).
color(11,yellow).
size(11,3).
weight(11,heavy).

",query(pull). queryDesc(green). queryDesc(big). queryDesc(circle). while(hesitant).
"pull,a,blue,small,circle,hesitantly","turn left,turn left,walk,stay,turn right,walk,stay,pull,stay","gridSize(6).
pos(agent,(6,6)).
dir(agent,east).

pos(0,(5,5)).
shape(0,circle).
color(0,blue).
size(0,1).
weight(0,light).

pos(1,(2,5)).
shape(1,circle).
color(1,blue).
size(1,4).
weight(1,heavy).

pos(2,(6,2)).
shape(2,cylinder).
color(2,blue).
size(2,2).
weight(2,light).

pos(3,(4,5)).
shape(3,cylinder).
color(3,blue).
size(3,4).
weight(3,heavy).

pos(4,(6,3)).
shape(4,cylinder).
color(4,red).
size(4,2).
weight(4,light).

pos(5,(3,6)).
shape(5,cylinder).
color(5,red).
size(5,3).
weight(5,heavy).

pos(6,(2,2)).
shape(6,square).
color(6,blue).
size(6,1).
weight(6,light).

pos(7,(1,2)).
shape(7,square).
color(7,blue).
size(7,4).
weight(7,heavy).

pos(8,(3,5)).
shape(8,circle).
color(8,green).
size(8,2).
weight(8,light).

pos(9,(1,1)).
shape(9,circle).
color(9,green).
size(9,1).
weight(9,light).

pos(10,(3,2)).
shape(10,circle).
color(10,red).
size(10,3).
weight(10,heavy).

pos(11,(4,3)).
shape(11,circle).
color(11,red).
size(11,2).
weight(11,light).

",query(pull). queryDesc(blue). queryDesc(small). queryDesc(circle). while(hesitant).
"pull,a,cylinder,while zigzagging","turn left,turn left,walk,turn right,walk,walk,walk,walk","gridSize(6).
pos(agent,(6,2)).
dir(agent,east).

pos(0,(2,1)).
shape(0,cylinder).
color(0,green).
size(0,4).
weight(0,heavy).

pos(1,(3,1)).
shape(1,square).
color(1,red).
size(1,2).
weight(1,light).

",query(pull). queryDesc(cylinder). while(zigzagging).
"pull,a,small,square,hesitantly","turn left,turn left,walk,stay,turn right,walk,stay,walk,stay,pull,stay,pull,stay","gridSize(6).
pos(agent,(6,4)).
dir(agent,east).

pos(0,(4,3)).
shape(0,square).
color(0,green).
size(0,2).
weight(0,light).

pos(1,(2,3)).
shape(1,square).
color(1,green).
size(1,4).
weight(1,heavy).

pos(2,(2,1)).
shape(2,cylinder).
color(2,blue).
size(2,1).
weight(2,light).

pos(3,(3,1)).
shape(3,cylinder).
color(3,blue).
size(3,3).
weight(3,heavy).

pos(4,(5,1)).
shape(4,square).
color(4,yellow).
size(4,3).
weight(4,heavy).

pos(5,(3,3)).
shape(5,square).
color(5,yellow).
size(5,3).
weight(5,heavy).

pos(6,(4,6)).
shape(6,square).
color(6,blue).
size(6,3).
weight(6,heavy).

pos(7,(4,4)).
shape(7,square).
color(7,blue).
size(7,3).
weight(7,heavy).

pos(8,(2,6)).
shape(8,square).
color(8,red).
size(8,4).
weight(8,heavy).

pos(9,(2,2)).
shape(9,square).
color(9,red).
size(9,4).
weight(9,heavy).

pos(10,(5,4)).
shape(10,circle).
color(10,red).
size(10,2).
weight(10,light).

pos(11,(6,1)).
shape(11,circle).
color(11,red).
size(11,2).
weight(11,light).

",query(pull). queryDesc(small). queryDesc(square). while(hesitant).
"pull,a,small,circle,while zigzagging","walk,turn left,walk,walk","gridSize(6).
pos(agent,(6,2)).
dir(agent,east).

pos(0,(4,3)).
shape(0,circle).
color(0,yellow).
size(0,1).
weight(0,light).

pos(1,(4,5)).
shape(1,circle).
color(1,yellow).
size(1,3).
weight(1,heavy).

pos(2,(5,3)).
shape(2,cylinder).
color(2,blue).
size(2,1).
weight(2,light).

pos(3,(3,1)).
shape(3,cylinder).
color(3,blue).
size(3,3).
weight(3,heavy).

pos(4,(6,1)).
shape(4,square).
color(4,green).
size(4,3).
weight(4,heavy).

pos(5,(1,6)).
shape(5,square).
color(5,green).
size(5,1).
weight(5,light).

pos(6,(3,5)).
shape(6,square).
color(6,yellow).
size(6,3).
weight(6,heavy).

pos(7,(3,3)).
shape(7,square).
color(7,yellow).
size(7,4).
weight(7,heavy).

pos(8,(5,4)).
shape(8,square).
color(8,red).
size(8,3).
weight(8,heavy).

pos(9,(1,1)).
shape(9,square).
color(9,red).
size(9,4).
weight(9,heavy).

pos(10,(1,3)).
shape(10,cylinder).
color(10,green).
size(10,4).
weight(10,heavy).

pos(11,(1,2)).
shape(11,cylinder).
color(11,green).
size(11,2).
weight(11,light).

",query(pull). queryDesc(small). queryDesc(circle). while(zigzagging).
"pull,a,blue,small,square","walk,turn left,walk,pull,pull,pull,pull","gridSize(6).
pos(agent,(3,1)).
dir(agent,east).

pos(0,(2,2)).
shape(0,square).
color(0,blue).
size(0,2).
weight(0,light).

pos(1,(2,5)).
shape(1,square).
color(1,blue).
size(1,3).
weight(1,heavy).

pos(2,(1,2)).
shape(2,circle).
color(2,blue).
size(2,1).
weight(2,light).

pos(3,(6,5)).
shape(3,circle).
color(3,blue).
size(3,2).
weight(3,light).

pos(4,(4,1)).
shape(4,circle).
color(4,green).
size(4,3).
weight(4,heavy).

pos(5,(4,4)).
shape(5,circle).
color(5,green).
size(5,3).
weight(5,heavy).

pos(6,(5,1)).
shape(6,cylinder).
color(6,yellow).
size(6,3).
weight(6,heavy).

pos(7,(1,3)).
shape(7,cylinder).
color(7,yellow).
size(7,3).
weight(7,heavy).

pos(8,(1,1)).
shape(8,square).
color(8,red).
size(8,2).
weight(8,light).

pos(9,(3,6)).
shape(9,square).
color(9,red).
size(9,1).
weight(9,light).

pos(10,(5,5)).
shape(10,cylinder).
color(10,green).
size(10,1).
weight(10,light).

pos(11,(2,6)).
shape(11,cylinder).
color(11,green).
size(11,4).
weight(11,heavy).

",query(pull). queryDesc(blue). queryDesc(small). queryDesc(square).
